Date ,Minutes Spent Cooking(min),Number of Dishes Dirtied ,School Day,Cooking Breakfast from Scratch ,Cooking Dinner from Scratch ,Ingredients Used,Number of additional servings made from cooking 
4/22/25,36.42,4,Y,N,Y,6,0
4/23/25,24,6,Y,N,Y,10,0
4/24/25,50.37,10,Y,Y,Y,7,3
4/25/25,14.39,5,Y,N,N,5,0
4/26/25,37.23,8,N,Y,Y,11,2
4/27/25,0,0,N,N,N,0,0
4/28/25,84.39,9,Y,Y,Y,13,5
4/29/25,29.26,7,Y,Y,N,8,0
4/30/25,17.56,4,Y,Y,N,3,0
5/1/25,34.41,5,Y,Y,N,4,3
5/2/25,20,5,Y,N,N,4,0
5/3/25,20.33,4,N,N,Y,4,0
5/4/25,79.57,5,N,Y,Y,9,4
5/5/25,13:54,5,Y,N,N,3,0
5/6/25,2,3,Y,N,N,1,0
5/7/25,42.43,7,Y,Y,N,6,2
5/8/25,37.42,9,Y,N,Y,8,1
5/9/25,17.05,5,Y,Y,N,4,1
5/10/25,58.36,10,N,N,Y,9,4
5/11/25,9,4,N,N,N,3,0
5/12/25,7,6,Y,N,N,4,0
5/13/25,52.27,8,Y,N,Y,8,2
5/14/25,91.3,7,Y,N,Y,11,3
5/15/25,22.76,3,Y,Y,N,5,0
5/16/25,47.64,6,Y,N,Y,10,3
5/17/25,26.28,8,N,N,Y,7,2
5/18/25,14,5,N,N,N,2,0
5/19/25,23:25,6,Y,Y,N,4,0
5/21/25,19.25,8,Y,N,Y,4,0
5/22/25,33.12,6,Y,N,Y,6,0
5/23/25,11.34,4,Y,Y,N,4,0
5/24/25,0,0,N,N,N,0,0
5/25/25,3.2,4,N,N,N,5,0
5/26/25,8,,,,,,0